case_id,shape,image_mean,image_std,mask_voxels,mask_ratio,mask_bbox
044,"[128, 128, 64]",-0.0,1.0,1694,0.001616,"[52, 49, 16, 74, 60, 38]"
045,"[128, 128, 64]",-0.0,1.0,344,0.000328,"[44, 55, 28, 58, 62, 35]"
046,"[128, 128, 64]",0.0,1.0,2276,0.002171,"[56, 43, 14, 76, 59, 37]"
047,"[128, 128, 64]",-0.0,1.0,751,0.000716,"[50, 45, 41, 73, 59, 48]"
048,"[128, 128, 64]",0.0,1.0,608,0.00058,"[56, 49, 22, 73, 61, 34]"
049,"[128, 128, 64]",0.0,1.0,2724,0.002598,"[44, 50, 14, 70, 66, 37]"
050,"[128, 128, 64]",0.0,1.0,5724,0.005459,"[39, 47, 28, 78, 87, 47]"
051,"[128, 128, 64]",0.0,1.0,1300,0.00124,"[52, 53, 18, 70, 63, 37]"
052,"[128, 128, 64]",-0.0,1.0,373,0.000356,"[62, 47, 43, 77, 60, 49]"
053,"[128, 128, 64]",-0.0,1.0,538,0.000513,"[60, 49, 46, 78, 62, 53]"
054,"[128, 128, 64]",0.0,1.0,1713,0.001634,"[48, 44, 39, 79, 62, 47]"
055,"[128, 128, 64]",0.0,1.0,1858,0.001772,"[52, 50, 19, 76, 63, 35]"
056,"[128, 128, 64]",-0.0,1.0,668,0.000637,"[60, 53, 45, 78, 67, 53]"
057,"[128, 128, 64]",0.0,1.0,1224,0.001167,"[57, 54, 26, 76, 68, 41]"
058,"[128, 128, 64]",-0.0,1.0,6154,0.005869,"[41, 41, 37, 78, 77, 58]"
059,"[128, 128, 64]",0.0,1.0,1971,0.00188,"[56, 37, 34, 81, 58, 53]"
060,"[128, 128, 64]",0.0,1.0,7028,0.006702,"[43, 42, 18, 71, 69, 53]"
061,"[128, 128, 64]",0.0,1.0,2826,0.002695,"[47, 41, 36, 82, 69, 49]"
062,"[128, 128, 64]",-0.0,1.0,2893,0.002759,"[38, 41, 41, 72, 68, 53]"
063,"[128, 128, 64]",-0.0,1.0,2976,0.002838,"[52, 53, 18, 77, 67, 41]"
064,"[128, 128, 64]",0.0,1.0,3053,0.002912,"[54, 47, 28, 80, 61, 53]"
065,"[128, 128, 64]",-0.0,1.0,3368,0.003212,"[51, 46, 10, 80, 64, 37]"
066,"[128, 128, 64]",0.0,1.0,1692,0.001614,"[53, 52, 18, 73, 63, 37]"
067,"[128, 128, 64]",0.0,1.0,363,0.000346,"[51, 45, 41, 62, 59, 47]"
068,"[128, 128, 64]",0.0,1.0,641,0.000611,"[62, 53, 37, 80, 67, 45]"
069,"[128, 128, 64]",-0.0,1.0,1552,0.00148,"[53, 48, 41, 82, 65, 49]"
070,"[128, 128, 64]",-0.0,1.0,1717,0.001637,"[46, 53, 17, 65, 65, 35]"
071,"[128, 128, 64]",-0.0,1.0,2993,0.002854,"[52, 44, 17, 77, 57, 35]"
072,"[128, 128, 64]",0.0,1.0,1177,0.001122,"[42, 47, 36, 66, 64, 47]"
073,"[128, 128, 64]",0.0,1.0,3244,0.003094,"[63, 50, 6, 80, 66, 27]"
074,"[128, 128, 64]",0.0,1.0,3264,0.003113,"[49, 48, 18, 75, 66, 41]"
075,"[128, 128, 64]",-0.0,1.0,5148,0.00491,"[45, 44, 37, 77, 70, 54]"
076,"[128, 128, 64]",0.0,1.0,949,0.000905,"[53, 55, 28, 70, 64, 46]"
077,"[128, 128, 64]",-0.0,1.0,6956,0.006634,"[42, 46, 6, 72, 64, 41]"
078,"[128, 128, 64]",-0.0,1.0,1603,0.001529,"[37, 51, 41, 63, 74, 47]"
079,"[128, 128, 64]",0.0,1.0,6301,0.006009,"[38, 41, 41, 74, 74, 60]"
080,"[128, 128, 64]",-0.0,1.0,713,0.00068,"[59, 48, 45, 75, 62, 51]"
081,"[128, 128, 64]",0.0,1.0,2548,0.00243,"[63, 42, 39, 83, 67, 51]"
082,"[128, 128, 64]",0.0,1.0,2119,0.002021,"[48, 53, 21, 74, 67, 38]"
083,"[128, 128, 64]",-0.0,1.0,2076,0.00198,"[49, 51, 18, 64, 67, 37]"
084,"[128, 128, 64]",0.0,1.0,601,0.000573,"[48, 53, 25, 62, 64, 35]"
085,"[128, 128, 64]",0.0,1.0,1815,0.001731,"[50, 47, 25, 67, 63, 42]"
086,"[128, 128, 64]",0.0,1.0,351,0.000335,"[66, 48, 43, 78, 62, 47]"
087,"[128, 128, 64]",0.0,1.0,3004,0.002865,"[52, 41, 26, 78, 63, 49]"
088,"[128, 128, 64]",0.0,1.0,6767,0.006454,"[53, 37, 12, 85, 68, 51]"
089,"[128, 128, 64]",0.0,1.0,2049,0.001954,"[53, 46, 36, 79, 64, 49]"
090,"[128, 128, 64]",0.0,1.0,1569,0.001496,"[65, 38, 46, 82, 64, 56]"
091,"[128, 128, 64]",-0.0,1.0,4948,0.004719,"[57, 49, 10, 87, 70, 41]"
092,"[128, 128, 64]",0.0,1.0,1444,0.001377,"[63, 48, 17, 79, 61, 38]"
093,"[128, 128, 64]",0.0,1.0,162,0.000154,"[52, 47, 45, 66, 58, 49]"
094,"[128, 128, 64]",-0.0,1.0,682,0.00065,"[52, 52, 21, 63, 64, 38]"
095,"[128, 128, 64]",-0.0,1.0,2361,0.002252,"[53, 49, 21, 74, 63, 38]"
096,"[128, 128, 64]",-0.0,1.0,3017,0.002877,"[40, 47, 17, 63, 67, 38]"
097,"[128, 128, 64]",0.0,1.0,816,0.000778,"[67, 59, 14, 80, 72, 29]"
098,"[128, 128, 64]",-0.0,1.0,1174,0.00112,"[52, 50, 25, 77, 65, 38]"
099,"[128, 128, 64]",-0.0,1.0,567,0.000541,"[55, 54, 21, 69, 62, 27]"
100,"[128, 128, 64]",-0.0,1.0,1480,0.001411,"[60, 47, 39, 80, 64, 49]"
101,"[128, 128, 64]",-0.0,1.0,349,0.000333,"[50, 54, 25, 59, 65, 31]"
102,"[128, 128, 64]",-0.0,1.0,1721,0.001641,"[55, 43, 45, 78, 60, 53]"
103,"[128, 128, 64]",0.0,1.0,754,0.000719,"[52, 47, 37, 74, 61, 47]"
104,"[128, 128, 64]",-0.0,1.0,344,0.000328,"[51, 54, 28, 61, 60, 40]"
105,"[128, 128, 64]",0.0,1.0,1189,0.001134,"[51, 42, 22, 64, 57, 38]"
106,"[128, 128, 64]",-0.0,1.0,3397,0.00324,"[52, 45, 36, 85, 64, 47]"
107,"[128, 128, 64]",-0.0,1.0,1060,0.001011,"[45, 51, 38, 66, 69, 47]"
108,"[128, 128, 64]",0.0,1.0,737,0.000703,"[61, 48, 37, 79, 61, 47]"
109,"[128, 128, 64]",-0.0,1.0,3283,0.003131,"[58, 42, 39, 85, 67, 50]"
110,"[128, 128, 64]",0.0,1.0,2317,0.00221,"[51, 53, 36, 82, 77, 51]"
111,"[128, 128, 64]",-0.0,1.0,1521,0.001451,"[61, 49, 21, 76, 62, 42]"
112,"[128, 128, 64]",0.0,1.0,904,0.000862,"[54, 51, 6, 64, 63, 37]"
113,"[128, 128, 64]",0.0,1.0,9989,0.009526,"[43, 39, 12, 70, 72, 51]"
114,"[128, 128, 64]",0.0,1.0,1784,0.001701,"[43, 48, 22, 70, 65, 37]"
115,"[128, 128, 64]",0.0,1.0,4644,0.004429,"[54, 48, 14, 82, 68, 41]"
116,"[128, 128, 64]",-0.0,1.0,2052,0.001957,"[53, 50, 18, 76, 64, 33]"
117,"[128, 128, 64]",-0.0,1.0,3672,0.003502,"[50, 41, 14, 80, 60, 37]"
118,"[128, 128, 64]",0.0,1.0,2385,0.002275,"[66, 51, 30, 87, 75, 47]"
119,"[128, 128, 64]",-0.0,1.0,8214,0.007833,"[46, 33, 43, 83, 71, 62]"
120,"[128, 128, 64]",-0.0,1.0,4580,0.004368,"[47, 48, 14, 82, 71, 33]"
121,"[128, 128, 64]",-0.0,1.0,6388,0.006092,"[62, 49, 32, 93, 91, 53]"
122,"[128, 128, 64]",0.0,1.0,2088,0.001991,"[52, 52, 22, 73, 64, 41]"
123,"[128, 128, 64]",-0.0,1.0,242,0.000231,"[64, 53, 46, 73, 64, 51]"
124,"[128, 128, 64]",-0.0,1.0,1444,0.001377,"[48, 39, 41, 66, 59, 51]"
125,"[128, 128, 64]",0.0,1.0,2896,0.002762,"[53, 48, 18, 78, 65, 41]"
126,"[128, 128, 64]",-0.0,1.0,362,0.000345,"[53, 50, 36, 69, 61, 42]"
127,"[128, 128, 64]",0.0,1.0,2008,0.001915,"[50, 46, 16, 67, 59, 38]"
128,"[128, 128, 64]",0.0,1.0,3928,0.003746,"[47, 42, 35, 82, 65, 45]"
129,"[128, 128, 64]",0.0,1.0,1164,0.00111,"[55, 45, 43, 76, 60, 51]"
130,"[128, 128, 64]",-0.0,1.0,693,0.000661,"[51, 52, 39, 67, 65, 47]"
131,"[128, 128, 64]",-0.0,1.0,1036,0.000988,"[67, 50, 39, 86, 70, 51]"
132,"[128, 128, 64]",0.0,1.0,5776,0.005508,"[59, 44, 18, 88, 69, 41]"
133,"[128, 128, 64]",-0.0,1.0,223,0.000213,"[67, 55, 43, 77, 63, 49]"
134,"[128, 128, 64]",0.0,1.0,2677,0.002553,"[40, 53, 39, 65, 80, 51]"
135,"[128, 128, 64]",-0.0,1.0,719,0.000686,"[52, 49, 45, 73, 64, 51]"
136,"[128, 128, 64]",0.0,1.0,1650,0.001574,"[63, 49, 10, 79, 61, 31]"
137,"[128, 128, 64]",-0.0,1.0,218,0.000208,"[52, 49, 37, 63, 57, 42]"
138,"[128, 128, 64]",0.0,1.0,843,0.000804,"[52, 49, 30, 66, 62, 38]"
139,"[128, 128, 64]",-0.0,1.0,876,0.000835,"[54, 50, 13, 68, 60, 27]"
140,"[128, 128, 64]",-0.0,1.0,452,0.000431,"[69, 54, 25, 79, 64, 35]"
141,"[128, 128, 64]",-0.0,1.0,2120,0.002022,"[53, 51, 14, 75, 63, 33]"
142,"[128, 128, 64]",-0.0,1.0,425,0.000405,"[53, 48, 45, 76, 59, 49]"
143,"[128, 128, 64]",-0.0,1.0,636,0.000607,"[58, 51, 37, 81, 62, 47]"
144,"[128, 128, 64]",0.0,1.0,4752,0.004532,"[63, 33, 14, 86, 63, 41]"
145,"[128, 128, 64]",-0.0,1.0,2813,0.002683,"[59, 46, 22, 86, 71, 41]"
146,"[128, 128, 64]",0.0,1.0,9620,0.009174,"[62, 51, 10, 93, 77, 37]"
147,"[128, 128, 64]",0.0,1.0,3709,0.003537,"[53, 51, 22, 86, 75, 38]"
148,"[128, 128, 64]",0.0,1.0,2103,0.002006,"[55, 48, 41, 82, 65, 49]"
149,"[128, 128, 64]",-0.0,1.0,2613,0.002492,"[48, 48, 21, 74, 65, 42]"
150,"[128, 128, 64]",0.0,1.0,1660,0.001583,"[55, 51, 6, 76, 63, 29]"
151,"[128, 128, 64]",-0.0,1.0,820,0.000782,"[53, 46, 14, 68, 60, 33]"
152,"[128, 128, 64]",0.0,1.0,4319,0.004119,"[45, 47, 0, 64, 62, 27]"
153,"[128, 128, 64]",-0.0,1.0,3222,0.003073,"[60, 48, 26, 81, 65, 43]"
154,"[128, 128, 64]",0.0,1.0,9464,0.009026,"[45, 40, 10, 89, 68, 33]"
155,"[128, 128, 64]",-0.0,1.0,596,0.000568,"[65, 52, 16, 79, 62, 29]"
156,"[128, 128, 64]",0.0,1.0,872,0.000832,"[64, 46, 45, 80, 63, 53]"
157,"[128, 128, 64]",0.0,1.0,3648,0.003479,"[53, 43, 10, 78, 62, 41]"
158,"[128, 128, 64]",0.0,1.0,1922,0.001833,"[54, 46, 16, 73, 59, 33]"
159,"[128, 128, 64]",-0.0,1.0,2015,0.001922,"[51, 49, 6, 80, 61, 27]"
160,"[128, 128, 64]",-0.0,1.0,454,0.000433,"[52, 53, 48, 72, 65, 51]"
161,"[128, 128, 64]",-0.0,1.0,636,0.000607,"[52, 48, 22, 63, 59, 37]"
162,"[128, 128, 64]",0.0,1.0,1614,0.001539,"[54, 45, 32, 79, 60, 42]"
163,"[128, 128, 64]",-0.0,1.0,2979,0.002841,"[53, 46, 21, 80, 61, 46]"
164,"[128, 128, 64]",0.0,1.0,1108,0.001057,"[65, 52, 6, 79, 65, 25]"
165,"[128, 128, 64]",0.0,1.0,3436,0.003277,"[50, 45, 10, 76, 61, 37]"
166,"[128, 128, 64]",-0.0,1.0,1760,0.001678,"[53, 49, 27, 75, 63, 41]"
167,"[128, 128, 64]",-0.0,1.0,1345,0.001283,"[51, 49, 21, 70, 61, 35]"
168,"[128, 128, 64]",0.0,1.0,581,0.000554,"[46, 55, 25, 62, 71, 34]"
169,"[128, 128, 64]",-0.0,1.0,379,0.000361,"[60, 48, 32, 74, 59, 38]"
170,"[128, 128, 64]",-0.0,1.0,1260,0.001202,"[60, 42, 43, 81, 58, 54]"
171,"[128, 128, 64]",0.0,1.0,13021,0.012418,"[61, 41, 2, 92, 66, 35]"
172,"[128, 128, 64]",-0.0,1.0,636,0.000607,"[66, 49, 45, 79, 63, 51]"
173,"[128, 128, 64]",0.0,1.0,148,0.000141,"[67, 52, 13, 75, 57, 24]"
174,"[128, 128, 64]",0.0,1.0,1224,0.001167,"[52, 49, 18, 75, 63, 33]"
175,"[128, 128, 64]",0.0,1.0,1688,0.00161,"[51, 46, 21, 71, 60, 42]"
176,"[128, 128, 64]",-0.0,1.0,6892,0.006573,"[50, 43, 10, 74, 62, 41]"
177,"[128, 128, 64]",0.0,1.0,2600,0.00248,"[54, 42, 18, 74, 61, 41]"
178,"[128, 128, 64]",0.0,1.0,2620,0.002499,"[50, 49, 13, 77, 65, 35]"
179,"[128, 128, 64]",0.0,1.0,1324,0.001263,"[45, 45, 46, 79, 61, 53]"
180,"[128, 128, 64]",-0.0,1.0,1635,0.001559,"[61, 49, 29, 81, 63, 46]"
181,"[128, 128, 64]",-0.0,1.0,538,0.000513,"[53, 48, 46, 77, 63, 51]"
182,"[128, 128, 64]",0.0,1.0,1108,0.001057,"[51, 53, 36, 71, 66, 51]"
183,"[128, 128, 64]",0.0,1.0,1392,0.001328,"[56, 44, 30, 76, 59, 45]"
184,"[128, 128, 64]",0.0,1.0,919,0.000876,"[63, 48, 17, 74, 62, 31]"
185,"[128, 128, 64]",0.0,1.0,621,0.000592,"[58, 47, 35, 72, 60, 41]"
186,"[128, 128, 64]",-0.0,1.0,8532,0.008137,"[32, 44, 14, 64, 65, 49]"
187,"[128, 128, 64]",0.0,1.0,1952,0.001862,"[52, 47, 14, 73, 60, 29]"
188,"[128, 128, 64]",0.0,1.0,1066,0.001017,"[50, 48, 19, 70, 61, 34]"
189,"[128, 128, 64]",-0.0,1.0,1053,0.001004,"[51, 50, 43, 75, 63, 53]"
190,"[128, 128, 64]",0.0,1.0,1489,0.00142,"[48, 43, 25, 74, 59, 35]"
191,"[128, 128, 64]",0.0,1.0,1076,0.001026,"[55, 49, 28, 77, 62, 42]"
192,"[128, 128, 64]",-0.0,1.0,514,0.00049,"[53, 46, 45, 73, 57, 52]"
193,"[128, 128, 64]",0.0,1.0,505,0.000482,"[45, 46, 42, 58, 60, 48]"
194,"[128, 128, 64]",0.0,1.0,15480,0.014763,"[39, 47, 10, 74, 78, 53]"
195,"[128, 128, 64]",0.0,1.0,5057,0.004823,"[45, 38, 10, 76, 62, 42]"
196,"[128, 128, 64]",0.0,1.0,674,0.000643,"[66, 46, 28, 78, 58, 42]"
197,"[128, 128, 64]",-0.0,1.0,4696,0.004478,"[43, 49, 10, 65, 68, 33]"
198,"[128, 128, 64]",0.0,1.0,1116,0.001064,"[63, 46, 22, 78, 61, 33]"
199,"[128, 128, 64]",-0.0,1.0,1498,0.001429,"[60, 48, 21, 79, 63, 38]"
200,"[128, 128, 64]",-0.0,1.0,350,0.000334,"[55, 50, 46, 73, 61, 50]"
201,"[128, 128, 64]",-0.0,1.0,4032,0.003845,"[61, 43, 28, 89, 68, 45]"
202,"[128, 128, 64]",0.0,1.0,2246,0.002142,"[52, 48, 21, 70, 67, 38]"
203,"[128, 128, 64]",0.0,1.0,326,0.000311,"[66, 51, 43, 79, 61, 49]"
204,"[128, 128, 64]",0.0,1.0,8873,0.008462,"[48, 47, 0, 80, 68, 42]"
205,"[128, 128, 64]",-0.0,1.0,518,0.000494,"[52, 48, 45, 76, 59, 49]"
206,"[128, 128, 64]",0.0,1.0,1210,0.001154,"[48, 43, 41, 76, 64, 51]"
207,"[128, 128, 64]",-0.0,1.0,2312,0.002205,"[51, 49, 18, 74, 65, 33]"
208,"[128, 128, 64]",-0.0,1.0,1094,0.001043,"[46, 47, 37, 68, 62, 49]"
209,"[128, 128, 64]",-0.0,1.0,2372,0.002262,"[57, 46, 18, 74, 61, 33]"
210,"[128, 128, 64]",0.0,1.0,260,0.000248,"[57, 47, 21, 66, 54, 31]"
211,"[128, 128, 64]",0.0,1.0,306,0.000292,"[56, 48, 43, 70, 58, 47]"
212,"[128, 128, 64]",-0.0,1.0,673,0.000642,"[61, 50, 39, 75, 62, 45]"
213,"[128, 128, 64]",-0.0,1.0,4908,0.004681,"[42, 43, 14, 66, 65, 37]"
214,"[128, 128, 64]",0.0,1.0,2678,0.002554,"[65, 48, 10, 83, 66, 38]"
215,"[128, 128, 64]",-0.0,1.0,7512,0.007164,"[47, 49, 10, 75, 73, 45]"
216,"[128, 128, 64]",0.0,1.0,586,0.000559,"[53, 48, 37, 64, 59, 47]"
217,"[128, 128, 64]",0.0,1.0,1876,0.001789,"[46, 48, 41, 75, 64, 53]"
218,"[128, 128, 64]",0.0,1.0,2389,0.002278,"[47, 47, 39, 79, 70, 49]"
219,"[128, 128, 64]",-0.0,1.0,590,0.000563,"[59, 48, 43, 78, 59, 49]"
220,"[128, 128, 64]",0.0,1.0,698,0.000666,"[62, 50, 45, 79, 62, 53]"
221,"[128, 128, 64]",0.0,1.0,2948,0.002811,"[51, 41, 18, 76, 60, 37]"
222,"[128, 128, 64]",0.0,1.0,2723,0.002597,"[44, 48, 37, 76, 67, 49]"
223,"[128, 128, 64]",0.0,1.0,588,0.000561,"[50, 54, 15, 63, 62, 24]"
224,"[128, 128, 64]",-0.0,1.0,3008,0.002869,"[56, 43, 14, 80, 60, 37]"
225,"[128, 128, 64]",0.0,1.0,9252,0.008823,"[30, 50, 32, 64, 80, 53]"
226,"[128, 128, 64]",-0.0,1.0,5508,0.005253,"[54, 45, 10, 87, 67, 38]"
227,"[128, 128, 64]",0.0,1.0,2630,0.002508,"[50, 39, 37, 80, 63, 47]"
228,"[128, 128, 64]",0.0,1.0,419,0.0004,"[57, 50, 39, 69, 60, 48]"
229,"[128, 128, 64]",0.0,1.0,1043,0.000995,"[51, 47, 43, 75, 62, 49]"
230,"[128, 128, 64]",-0.0,1.0,1528,0.001457,"[54, 48, 22, 73, 61, 41]"
231,"[128, 128, 64]",-0.0,1.0,2780,0.002651,"[61, 47, 18, 79, 64, 45]"
232,"[128, 128, 64]",-0.0,1.0,2214,0.002111,"[47, 47, 15, 65, 64, 31]"
233,"[128, 128, 64]",0.0,1.0,639,0.000609,"[62, 39, 39, 79, 56, 47]"
234,"[128, 128, 64]",0.0,1.0,728,0.000694,"[51, 46, 35, 72, 57, 44]"
235,"[128, 128, 64]",-0.0,1.0,1875,0.001788,"[52, 51, 17, 78, 66, 35]"
236,"[128, 128, 64]",0.0,1.0,2808,0.002678,"[46, 48, 14, 66, 67, 37]"
237,"[128, 128, 64]",-0.0,1.0,1884,0.001797,"[48, 47, 18, 70, 60, 37]"
238,"[128, 128, 64]",0.0,1.0,6928,0.006607,"[64, 46, 14, 90, 71, 41]"
239,"[128, 128, 64]",-0.0,1.0,437,0.000417,"[64, 48, 43, 78, 64, 49]"
240,"[128, 128, 64]",0.0,1.0,499,0.000476,"[61, 51, 43, 76, 60, 51]"
241,"[128, 128, 64]",-0.0,1.0,1021,0.000974,"[49, 43, 22, 69, 60, 34]"
242,"[128, 128, 64]",-0.0,1.0,1520,0.00145,"[66, 47, 18, 81, 61, 41]"
243,"[128, 128, 64]",0.0,1.0,1494,0.001425,"[47, 47, 25, 64, 61, 38]"
244,"[128, 128, 64]",0.0,1.0,920,0.000877,"[48, 45, 40, 72, 60, 46]"
245,"[128, 128, 64]",-0.0,1.0,1152,0.001099,"[55, 43, 37, 77, 58, 49]"
246,"[128, 128, 64]",0.0,1.0,762,0.000727,"[61, 51, 21, 74, 62, 35]"
247,"[128, 128, 64]",-0.0,1.0,4868,0.004642,"[56, 46, 18, 85, 68, 49]"
248,"[128, 128, 64]",0.0,1.0,1296,0.001236,"[51, 48, 26, 66, 64, 37]"
249,"[128, 128, 64]",0.0,1.0,2400,0.002289,"[47, 42, 18, 70, 60, 41]"
250,"[128, 128, 64]",0.0,1.0,2832,0.002701,"[46, 48, 14, 65, 64, 37]"
251,"[128, 128, 64]",-0.0,1.0,1545,0.001473,"[50, 49, 21, 70, 63, 35]"
252,"[128, 128, 64]",-0.0,1.0,1737,0.001657,"[48, 46, 16, 68, 60, 38]"
253,"[128, 128, 64]",-0.0,1.0,2959,0.002822,"[45, 49, 45, 78, 72, 56]"
254,"[128, 128, 64]",-0.0,1.0,3763,0.003589,"[49, 45, 39, 82, 66, 55]"
255,"[128, 128, 64]",-0.0,1.0,2800,0.00267,"[48, 41, 22, 72, 64, 45]"
256,"[128, 128, 64]",0.0,1.0,476,0.000454,"[53, 50, 45, 67, 59, 53]"
257,"[128, 128, 64]",0.0,1.0,1724,0.001644,"[38, 46, 43, 63, 65, 53]"
258,"[128, 128, 64]",0.0,1.0,961,0.000916,"[54, 52, 39, 75, 66, 51]"
259,"[128, 128, 64]",0.0,1.0,3323,0.003169,"[53, 45, 13, 81, 63, 35]"
260,"[128, 128, 64]",-0.0,1.0,500,0.000477,"[54, 46, 43, 73, 58, 51]"
261,"[128, 128, 64]",-0.0,1.0,1571,0.001498,"[60, 47, 21, 80, 60, 35]"
262,"[128, 128, 64]",0.0,1.0,3032,0.002892,"[60, 35, 48, 85, 60, 58]"
263,"[128, 128, 64]",0.0,1.0,8703,0.0083,"[58, 37, 25, 93, 64, 51]"
264,"[128, 128, 64]",0.0,1.0,1726,0.001646,"[50, 51, 17, 75, 61, 31]"
265,"[128, 128, 64]",0.0,1.0,531,0.000506,"[50, 52, 39, 62, 66, 51]"
266,"[128, 128, 64]",0.0,1.0,1794,0.001711,"[49, 48, 10, 66, 67, 31]"
267,"[128, 128, 64]",-0.0,1.0,2351,0.002242,"[52, 48, 13, 82, 66, 31]"
268,"[128, 128, 64]",-0.0,1.0,4818,0.004595,"[51, 38, 39, 82, 67, 56]"
269,"[128, 128, 64]",-0.0,1.0,1149,0.001096,"[47, 50, 17, 64, 62, 38]"
270,"[128, 128, 64]",0.0,1.0,276,0.000263,"[52, 50, 38, 64, 61, 47]"
271,"[128, 128, 64]",-0.0,1.0,1593,0.001519,"[55, 53, 16, 71, 61, 42]"
272,"[128, 128, 64]",-0.0,1.0,2419,0.002307,"[47, 39, 41, 85, 66, 51]"
273,"[128, 128, 64]",-0.0,1.0,8000,0.007629,"[47, 48, 2, 86, 67, 33]"
274,"[128, 128, 64]",-0.0,1.0,3684,0.003513,"[45, 46, 14, 70, 64, 37]"
275,"[128, 128, 64]",0.0,1.0,1528,0.001457,"[53, 48, 34, 75, 63, 44]"
276,"[128, 128, 64]",0.0,1.0,4457,0.004251,"[58, 33, 34, 89, 67, 51]"
277,"[128, 128, 64]",0.0,1.0,4936,0.004707,"[31, 43, 15, 56, 64, 34]"
